FullyPaid, IntRate ,Installment,logannual.inc,FICO,RevBal,Purpose,,
Yes, 0.11 ,162.73,9.61580548,737,0,all_other,,
Yes, 0.12 ,158.38,10.1266311,672,409,debt_consolidation,,
Yes, 0.09 ,795.11,10.95080655,822,185,small_business,,
Yes, 0.10 ,158.83,11.33857208,727,48251,debt_consolidation,,
Yes, 0.10 ,97.2,10.54534144,687,772,all_other,,
Yes, 0.12 ,263.97,10.81977828,672,1019,debt_consolidation,,
Yes, 0.11 ,404.62,10.75177778,692,8332,small_business,,
Yes, 0.08 ,307.53,11.15625052,797,1790,all_other,,
No, 0.13 ,839.95,11.22524339,722,62739,debt_consolidation,,
No, 0.11 ,269.31,11.59910316,767,29901,all_other,,
Yes, 0.12 ,265.18,10.858999,667,5867,debt_consolidation,,
Yes, 0.10 ,802.47,11.26446411,732,10605,home_improvement,,
No, 0.11 ,505.16,11.69524702,697,57196,debt_consolidation,,
No, 0.09 ,318.05,12.52452638,712,481,home_improvement,,
Yes, 0.08 ,315.12,10.30895266,737,2282,educational,,
Yes, 0.11 ,130.79,9.574983486,672,3614,all_other,,
Yes, 0.11 ,227.82,11.05879518,682,14930,debt_consolidation,,
Yes, 0.10 ,643.36,11.66134547,727,33989,credit_card,,
Yes, 0.15 ,51.78,10.1266311,632,1238,all_other,,
Yes, 0.09 ,572.48,10.62132735,747,4746,educational,,
Yes, 0.08 ,149.87,9.952277717,752,3470,all_other,,
Yes, 0.10 ,96.75,11.03488966,682,12640,all_other,,
Yes, 0.07 ,92.8,11.44035477,812,368,home_improvement,,
Yes, 0.11 ,192.09,11.09741002,677,30597,credit_card,,
Yes, 0.12 ,593.92,10.20359214,682,8537,all_other,,
Yes, 0.11 ,392.36,10.46310334,692,15649,debt_consolidation,,
Yes, 0.08 ,156.11,10.858999,767,4067,educational,,
Yes, 0.10 ,155.52,10.46310334,687,5836,debt_consolidation,,
Yes, 0.10 ,485.99,11.38509209,702,24615,credit_card,,
Yes, 0.10 ,116.64,10.30895266,687,7600,all_other,,
No, 0.11 ,223.34,10.83958091,682,9495,debt_consolidation,,
Yes, 0.08 ,149.87,9.903487553,757,4921,credit_card,,
Yes, 0.12 ,211.17,11.46163217,667,11200,educational,,
Yes, 0.07 ,186.45,11.13730067,777,2444,debt_consolidation,,
Yes, 0.09 ,790.86,11.00209984,767,916,debt_consolidation,,
No, 0.09 ,795.11,13.33100224,782,148829,small_business,,
Yes, 0.09 ,126.65,10.69194491,747,3209,credit_card,,
Yes, 0.11 ,294.27,11.28978191,677,7570,credit_card,,
Yes, 0.11 ,404.62,11.28978191,687,13126,debt_consolidation,,
Yes, 0.12 ,397.77,11.91839057,687,66654,debt_consolidation,,
Yes, 0.07 ,178.68,11.46163217,812,50,debt_consolidation,,
No, 0.10 ,29.16,9.392661929,687,3084,educational,,
Yes, 0.10 ,417.62,11.42954386,712,2598,small_business,,
Yes, 0.11 ,130.18,11.03488966,682,18168,credit_card,,
Yes, 0.11 ,98.53,10.40134951,682,24218,all_other,,
Yes, 0.08 ,15.69,9.798127037,722,0,all_other,,
Yes, 0.11 ,523.14,12.20607265,697,72303,credit_card,,
Yes, 0.09 ,557.23,11.9381932,757,1032,all_other,,
Yes, 0.11 ,315.3,10.65725935,677,133,all_other,,
No, 0.12 ,527.93,10.70099475,682,34023,debt_consolidation,,
Yes, 0.07 ,93.23,11.1844214,757,12430,major_purchase,,
Yes, 0.08 ,202.94,10.77895629,787,10742,debt_consolidation,,
No, 0.12 ,165.74,10.59663473,667,2197,debt_consolidation,,
No, 0.10 ,158.76,10.69194491,692,88,all_other,,
Yes, 0.10 ,485.99,10.81977828,702,13867,debt_consolidation,,
No, 0.10 ,322.49,11.19134184,702,3943,all_other,,
Yes, 0.09 ,189.97,10.08580911,757,5405,debt_consolidation,,
Yes, 0.12 ,376.24,10.42228135,712,12102,debt_consolidation,,
Yes, 0.12 ,599.33,11.61045137,682,18076,debt_consolidation,,
No, 0.12 ,132.35,10.20359214,702,4504,debt_consolidation,,
Yes, 0.12 ,828.69,10.858999,712,25852,small_business,,
Yes, 0.11 ,604.88,10.858999,707,32438,credit_card,,
Yes, 0.09 ,538.23,10.93131966,747,20380,debt_consolidation,,
Yes, 0.09 ,172.55,10.6454249,707,38054,credit_card,,
Yes, 0.11 ,604.88,10.49127422,697,25,small_business,,
Yes, 0.10 ,290.24,10.54534144,697,3305,all_other,,
No, 0.12 ,530.36,11.36674295,682,348,major_purchase,,
Yes, 0.09 ,158.31,10.08580911,722,3015,all_other,,
Yes, 0.11 ,390.54,10.30895266,702,7336,debt_consolidation,,
Yes, 0.12 ,301.04,10.858999,662,8644,credit_card,,
No, 0.12 ,659.91,11.47210347,707,93,small_business,,
Yes, 0.07 ,217.52,10.66895539,777,2698,small_business,,
Yes, 0.10 ,388.79,11.48246626,697,19009,home_improvement,,
Yes, 0.09 ,158.31,10.77895629,717,498,major_purchase,,
No, 0.12 ,319.64,11.00209984,672,10358,debt_consolidation,,
Yes, 0.10 ,103.68,11.22524339,682,2105,credit_card,,
Yes, 0.10 ,154.08,11.00209984,697,2822,home_improvement,,
Yes, 0.11 ,650.9,11.58988651,707,21004,debt_consolidation,,
Yes, 0.14 ,81.74,10.75790288,667,11675,all_other,,
Yes, 0.09 ,238.54,9.875088078,712,3933,all_other,,
Yes, 0.13 ,335.98,10.98189713,662,7251,debt_consolidation,,
No, 0.12 ,93.23,10.71441777,692,88,all_other,,
Yes, 0.09 ,95.87,10.50780352,697,1492,all_other,,
Yes, 0.10 ,95.94,10.1266311,692,7121,debt_consolidation,,
Yes, 0.13 ,554.37,11.03488966,677,17641,debt_consolidation,,
No, 0.14 ,859.07,11.28978191,682,30946,small_business,,
Yes, 0.08 ,472.68,11.2515607,772,0,major_purchase,,
Yes, 0.11 ,586.9,11.22524339,697,23391,credit_card,,
Yes, 0.10 ,224.69,9.878169745,772,16324,major_purchase,,
No, 0.13 ,483.81,10.49460201,662,7104,debt_consolidation,,
Yes, 0.12 ,399.55,10.08580911,672,9273,debt_consolidation,,
Yes, 0.12 ,232.04,10.82774645,672,6718,debt_consolidation,,
No, 0.10 ,802.47,11.22524339,767,12017,small_business,,
Yes, 0.11 ,304.9,11.16368368,692,5749,debt_consolidation,,
Yes, 0.12 ,836.23,11.27545477,692,6530,small_business,,
Yes, 0.08 ,124.89,10.08580911,752,2666,all_other,,
Yes, 0.10 ,113.4,10.77895629,687,3761,all_other,,
Yes, 0.14 ,842.47,11.69524702,677,33698,credit_card,,
No, 0.11 ,817.41,11.19821472,737,3472,debt_consolidation,,
Yes, 0.16 ,421.65,10.46287474,667,14534,debt_consolidation,,
Yes, 0.09 ,575.17,11.00209984,732,6703,educational,,
Yes, 0.13 ,405.03,11.56171563,667,5861,all_other,,
Yes, 0.13 ,167.99,10.14564911,662,5061,debt_consolidation,,
Yes, 0.10 ,677.22,10.89857098,722,16888,debt_consolidation,,
Yes, 0.12 ,131.99,10.83863929,667,463,all_other,,
Yes, 0.09 ,281.2,10.1266311,712,0,debt_consolidation,,
Yes, 0.10 ,802.47,10.77895629,742,8283,debt_consolidation,,
Yes, 0.11 ,505.16,11.61728548,687,46525,credit_card,,
Yes, 0.07 ,180.23,10.62861778,772,2650,home_improvement,,
No, 0.09 ,798.84,11.51292546,762,17,small_business,,
No, 0.09 ,319.54,10.50506754,727,827,all_other,,
Yes, 0.10 ,32.1,8.517193191,702,961,debt_consolidation,,
Yes, 0.10 ,192.6,9.798127037,697,1554,debt_consolidation,,
No, 0.14 ,764.64,11.81303006,672,10753,home_improvement,,
Yes, 0.07 ,30.94,11.69524702,792,2227,all_other,,
Yes, 0.09 ,381.66,11.51961693,722,7606,credit_card,,
No, 0.12 ,301.04,11.00209984,662,8355,debt_consolidation,,
Yes, 0.14 ,687.25,11.32659589,667,27293,credit_card,,
Yes, 0.10 ,320.99,11.1124479,712,10157,debt_consolidation,,
No, 0.15 ,862.97,11.3736634,677,4209,small_business,,
Yes, 0.08 ,250.95,10.89673933,767,0,credit_card,,
Yes, 0.07 ,87.01,10.28793329,767,1773,all_other,,
No, 0.08 ,62.45,10.08580911,742,949,all_other,,
No, 0.14 ,851.41,11.22524339,687,12308,home_improvement,,
Yes, 0.11 ,244.09,10.59600954,687,7914,credit_card,,
Yes, 0.14 ,687.25,10.65725935,672,9150,debt_consolidation,,
Yes, 0.11 ,656.86,10.55986701,702,21777,debt_consolidation,,
Yes, 0.13 ,537.57,11.48440253,667,4281,all_other,,
Yes, 0.10 ,320.99,10.12502982,712,4475,debt_consolidation,,
Yes, 0.10 ,386.99,11.51292546,707,25413,debt_consolidation,,
Yes, 0.08 ,315.12,11.58058411,742,15043,small_business,,
Yes, 0.11 ,292.91,10.16277015,682,6353,major_purchase,,
Yes, 0.08 ,125.48,9.980448594,742,3737,debt_consolidation,,
Yes, 0.09 ,383.45,11.13663073,717,11370,debt_consolidation,,
Yes, 0.13 ,523.78,10.49127422,667,18403,debt_consolidation,,
Yes, 0.12 ,199.78,11.69524702,662,19504,all_other,,
Yes, 0.09 ,575.17,11.53272809,747,10463,debt_consolidation,,
Yes, 0.09 ,95.42,9.210340372,707,2808,debt_consolidation,,
Yes, 0.09 ,477.07,11.17043516,742,6297,debt_consolidation,,
Yes, 0.08 ,345.06,11.03488966,792,33060,all_other,,
No, 0.11 ,155.19,9.893437217,717,4500,all_other,,
Yes, 0.10 ,644.97,11.21171226,732,2344,home_improvement,,
Yes, 0.07 ,92.8,11.01205017,797,2907,all_other,,
Yes, 0.10 ,306.36,10.96819829,727,26218,debt_consolidation,,
Yes, 0.12 ,143.53,9.998797732,707,5967,debt_consolidation,,
No, 0.10 ,288.89,11.62625415,702,27786,credit_card,,
No, 0.09 ,87.88,11.62625415,702,27786,all_other,,
Yes, 0.09 ,381.66,11.69524702,722,7335,all_other,,
Yes, 0.11 ,197.06,10.80972795,672,0,debt_consolidation,,
Yes, 0.08 ,83.92,10.59663473,737,19210,credit_card,,
Yes, 0.10 ,481.48,10.59663473,717,11601,small_business,,
Yes, 0.10 ,253.16,10.16585182,697,991,debt_consolidation,,
Yes, 0.07 ,77.69,13.16542287,762,141287,all_other,,
Yes, 0.10 ,97,11.69524702,687,199,all_other,,
No, 0.10 ,259.87,11.69524702,692,63580,all_other,,
Yes, 0.07 ,124.3,11.04292184,772,773,home_improvement,,
Yes, 0.13 ,67.68,9.798127037,662,1042,debt_consolidation,,
No, 0.13 ,406.07,10.20359214,662,137,debt_consolidation,,
Yes, 0.10 ,241.41,11.47210347,712,1944,credit_card,,
No, 0.14 ,170.72,10.54534144,662,16613,small_business,,
Yes, 0.08 ,293.85,9.392661929,737,0,educational,,
Yes, 0.13 ,318.09,10.81977828,662,5181,credit_card,,
Yes, 0.09 ,63.79,10.08580911,727,597,major_purchase,,
Yes, 0.07 ,217.52,11.00209984,807,3202,all_other,,
Yes, 0.12 ,667.74,11.79810441,687,46086,credit_card,,
No, 0.12 ,133.55,10.81977828,662,9380,debt_consolidation,,
Yes, 0.10 ,421.14,10.59663473,752,35944,debt_consolidation,,
Yes, 0.14 ,339.94,10.80972795,672,0,all_other,,
Yes, 0.11 ,365.51,11.00209984,702,7973,debt_consolidation,,
Yes, 0.08 ,313.69,10.11050172,752,8522,debt_consolidation,,
Yes, 0.16 ,876.83,11.69524702,677,62976,credit_card,,
Yes, 0.14 ,316.99,10.30895266,667,7429,debt_consolidation,,
No, 0.12 ,701.12,10.77895629,682,639,small_business,,
Yes, 0.10 ,485,11.38845009,732,14903,debt_consolidation,,
Yes, 0.12 ,133.55,10.59653473,662,2923,debt_consolidation,,
Yes, 0.08 ,362.39,11.58058411,757,18314,credit_card,,
Yes, 0.07 ,108.27,10.26813067,777,150,all_other,,
Yes, 0.12 ,240.39,9.757305042,662,0,all_other,,
Yes, 0.07 ,62.15,11.12714533,767,2475,all_other,,
Yes, 0.08 ,66.18,9.893437217,722,1489,all_other,,
Yes, 0.11 ,327.82,10.63344871,702,15368,debt_consolidation,,
No, 0.07 ,69.14,11.69524702,762,21521,all_other,,
No, 0.11 ,313.3,11.02190247,702,4781,home_improvement,,
Yes, 0.11 ,329.34,11.27090486,692,8473,debt_consolidation,,
Yes, 0.12 ,292.97,10.727663,677,8494,all_other,,
Yes, 0.08 ,315.12,11.15051985,762,11333,all_other,,
No, 0.08 ,225.86,11.02190247,762,9366,debt_consolidation,,
Yes, 0.08 ,63.03,10.46493024,742,4922,major_purchase,,
No, 0.13 ,536.57,11.42081018,677,23129,debt_consolidation,,
Yes, 0.12 ,126.29,11.05089001,667,29736,small_business,,
Yes, 0.10 ,192.23,11.60823564,722,67232,credit_card,,
Yes, 0.10 ,97,10.77895629,692,0,all_other,,
Yes, 0.09 ,318.93,11.25480219,727,11496,debt_consolidation,,
Yes, 0.11 ,228.45,10.50506754,687,6999,credit_card,,
Yes, 0.12 ,72.78,10.57821615,667,4863,all_other,,
Yes, 0.11 ,16.47,9.878169745,667,12229,all_other,,
Yes, 0.08 ,124.89,10.96127785,767,2325,all_other,,
No, 0.11 ,262.26,11.1844214,687,14653,all_other,,
Yes, 0.08 ,236.34,11.22524339,742,4286,credit_card,,
Yes, 0.12 ,265.87,10.70738554,677,8009,debt_consolidation,,
No, 0.08 ,101.47,10.49127422,742,2353,debt_consolidation,,
Yes, 0.08 ,218.55,10.81769612,767,6634,debt_consolidation,,
Yes, 0.10 ,38.8,10.30895266,702,0,debt_consolidation,,
Yes, 0.11 ,247,11.1844214,682,5608,credit_card,,
No, 0.13 ,673.79,10.77895629,682,13649,debt_consolidation,,
Yes, 0.11 ,79.96,10.54534144,677,9973,all_other,,
Yes, 0.12 ,498.51,10.75790288,677,16502,debt_consolidation,,
No, 0.15 ,692.14,11.23848862,667,15773,debt_consolidation,,
Yes, 0.10 ,800.95,11.08214255,777,3326,small_business,,
Yes, 0.10 ,289.69,9.980448594,712,7263,debt_consolidation,,
Yes, 0.08 ,264.71,10.54796956,767,3451,all_other,,
Yes, 0.13 ,117.38,10.77895629,662,16770,debt_consolidation,,
Yes, 0.11 ,293.72,10.49127422,692,17042,all_other,,
Yes, 0.13 ,563.4,11.00209984,697,10686,major_purchase,,
Yes, 0.09 ,318.93,12.01370075,732,45,credit_card,,
Yes, 0.10 ,230.68,10.38887228,717,3247,all_other,,
Yes, 0.15 ,730.04,11.22524339,677,27839,debt_consolidation,,
Yes, 0.08 ,312.22,11.65702581,807,0,all_other,,
Yes, 0.08 ,250.95,11.00209984,757,17246,major_purchase,,
Yes, 0.14 ,514.49,10.77895629,667,14036,debt_consolidation,,
Yes, 0.10 ,16.25,10.16585182,692,5643,small_business,,
Yes, 0.12 ,372.22,10.71441777,697,17850,debt_consolidation,,
Yes, 0.10 ,320.38,10.91508846,722,8382,debt_consolidation,,
Yes, 0.18 ,504.13,11.33857208,662,24280,small_business,,
Yes, 0.12 ,413.51,10.49127422,677,8375,debt_consolidation,,
Yes, 0.10 ,485,11.33857208,742,6437,all_other,,
Yes, 0.12 ,307.66,11.03488966,697,16890,credit_card,,
Yes, 0.11 ,130.54,10.37349118,682,887,all_other,,
No, 0.13 ,370.59,10.86856845,667,17771,debt_consolidation,,
Yes, 0.13 ,539.03,10.66895539,677,13115,debt_consolidation,,
No, 0.08 ,312.22,10.08580911,787,5028,major_purchase,,
No, 0.11 ,70.17,9.308283446,692,1,all_other,,
Yes, 0.11 ,440.57,10.52406404,702,10251,debt_consolidation,,
Yes, 0.09 ,175.42,10.51867319,727,6566,all_other,,
Yes, 0.10 ,194.91,10.81977828,687,9516,all_other,,
Yes, 0.12 ,165.41,11.00209984,672,2126,debt_consolidation,,
No, 0.13 ,406.07,10.71441777,662,7209,debt_consolidation,,
No, 0.12 ,82.71,11.03488966,677,7180,debt_consolidation,,
Yes, 0.08 ,189.08,10.60905725,727,7386,debt_consolidation,,
Yes, 0.07 ,57.23,10.46310334,772,6035,all_other,,
No, 0.13 ,338.39,11.69524702,662,28653,small_business,,
Yes, 0.12 ,498.51,11.51292546,682,49459,debt_consolidation,,
Yes, 0.13 ,737.78,11.40756495,697,22738,credit_card,,
No, 0.09 ,306.18,11.03488966,742,24406,credit_card,,
Yes, 0.10 ,592.7,10.34174248,747,25946,debt_consolidation,,
Yes, 0.10 ,611.1,10.69194491,732,0,all_other,,
Yes, 0.10 ,461.35,11.38586452,732,4765,debt_consolidation,,
Yes, 0.16 ,841.76,11.22524339,662,15222,debt_consolidation,,
Yes, 0.11 ,244.76,11.35040654,687,8035,small_business,,
No, 0.10 ,452.67,11.22524339,722,14214,debt_consolidation,,
Yes, 0.10 ,649.68,11.65702581,732,23442,debt_consolidation,,
Yes, 0.08 ,226.89,12.07254125,742,101443,credit_card,,
Yes, 0.12 ,498.51,11.51292546,677,25988,debt_consolidation,,
No, 0.16 ,880.78,11.6351431,682,51039,debt_consolidation,,
Yes, 0.11 ,658.67,10.96578158,702,23370,debt_consolidation,,
Yes, 0.12 ,231.57,12.20607265,692,119420,all_other,,
Yes, 0.10 ,258.67,10.81977828,702,0,all_other,,
Yes, 0.11 ,157.36,10.73639668,677,15564,debt_consolidation,,
Yes, 0.12 ,300.48,11.35040654,677,13686,debt_consolidation,,
Yes, 0.11 ,658.67,12.8346813,702,6921,home_improvement,,
Yes, 0.10 ,129.34,10.49127422,697,4220,debt_consolidation,,
Yes, 0.14 ,170.72,11.1844214,662,29877,all_other,,
No, 0.13 ,101.52,10.47005058,697,21573,credit_card,,
No, 0.11 ,365.51,11.28978191,697,18316,small_business,,
Yes, 0.08 ,337.19,10.08580911,782,1458,small_business,,
Yes, 0.09 ,382.72,10.59663473,747,3179,debt_consolidation,,
Yes, 0.08 ,403.36,11.08214255,757,4365,debt_consolidation,,
